
Los Angeles Memorial Coliseum,93607,"Los Angeles, California",Natural grass,Open,Los Angeles Rams,1923,31
MetLife Stadium,82500,"East Rutherford, New Jersey",UBU Speed Series S5-M Synthetic Turf,Open,New York Giants,2010,32
MetLife Stadium,82500,"East Rutherford, New Jersey",UBU Speed Series S5-M Synthetic Turf,Open,New York Jets,2010,32
FedExField,82000,"Landover, Maryland",Latitude 36 Bermuda Grass,Open,Washington Redskins,1997,34
Lambeau Field,81435,"Green Bay, Wisconsin",Hybrid Grass-Synthetic,Open,Green Bay Packers,1957,35
AT&T Stadium,80000,"Arlington, Texas",Matrix RealGrass artificial turf,Retractable,Dallas Cowboys,2009,36
Arrowhead Stadium,76416,"Kansas City, Missouri",Latitude 36 Bermuda Grass,Open,Kansas City Chiefs,1972,37
Sports Authority Field at Mile High,76125,"Denver, Colorado",Kentucky Bluegrass,Open,Denver Broncos,2001,38
Bank of America Stadium,75419,"Charlotte, North Carolina",Voyager Bermuda Grass,Open,Carolina Panthers,1996,39
Mercedes-Benz Superdome,73000,"New Orleans, Louisiana",UBU Turf (artificial),Fixed,New Orleans Saints,1975,40
NRG Stadium,72220,"Houston, Texas",AstroTurf GameDay Grass 3D,Retractable,Houston Texans,2002,41
New Era Field,71870,"Orchard Park, New York",A-Turf Titan 50 (artificial),Open,Buffalo Bills,1973,42
Georgia Dome,71250,"Atlanta, Georgia",FieldTurf Classic HD,Fixed,Atlanta Falcons,1992,43
M&T Bank Stadium,71008,"Baltimore, Maryland",Latitude 36 Bermuda Grass,Open,Baltimore Ravens,1998,44
Qualcomm Stadium,70561,"San Diego, California",Bandera Bermuda Grass,Open,San Diego Chargers,1967,45
Lincoln Financial Field,69596,"Philadelphia, Pennsylvania",Desso GrassMaster,Open,Philadelphia Eagles,2003,46
Nissan Stadium,69143,"Nashville, Tennessee",TifSport Bermuda Grass,Open,Tennessee Titans,1999,47
Levi's Stadium,68500,"Santa Clara, California",Tifway II Bermuda Grass / Perennial Ryegrass mixture,Open,San Francisco 49ers,2014,48
Heinz Field,68400,"Pittsburgh, Pennsylvania",Kentucky Bluegrass,Open,Pittsburgh Steelers,2001,49
CenturyLink Field,68000,"Seattle, Washington",FieldTurf Revolution,Open,Seattle Seahawks,2002,50
FirstEnergy Stadium,67431,"Cleveland, Ohio",Kentucky Bluegrass,Open,Cleveland Browns,1999,51
EverBank Field,67246,"Jacksonville, Florida",Tifway 419 Bermuda Grass,Open,Jacksonville Jaguars,1995,52
Lucas Oil Stadium,67000,"Indianapolis, Indiana",FieldTurf Classic HD,Retractable,Indianapolis Colts,2008,53
Gillette Stadium,66829,"Foxborough, Massachusetts",FieldTurf Revolution,Open,New England Patriots,2002,54
U.S. Bank Stadium,66200,"Minneapolis, Minnesota",UBU Speed Series S5-M Synthetic Turf,Fixed,Minnesota Vikings,2016,55
Raymond James Stadium,65890,"Tampa, Florida",Tifway 419 Bermuda Grass,Open,Tampa Bay Buccaneers,1998,56
Paul Brown Stadium,65515,"Cincinnati, Ohio",UBU Speed Series S5-M Synthetic Turf,Open,Cincinnati Bengals,2000,57
Hard Rock Stadium,65326,"Miami Gardens, Florida",Platinum TE Paspalum,Open,Miami Dolphins,1987,58
Ford Field,65000,"Detroit, Michigan",FieldTurf Classic HD,Fixed,Detroit Lions,2002,59
University of Phoenix Stadium,63400,"Glendale, Arizona",Tifway 419 Bermuda Grass,Retractable,Arizona Cardinals,2006,60
Soldier Field,61500,"Chicago, Illinois",Kentucky Bluegrass,Open,Chicago Bears,1924,61
Oakland Alameda Coliseum,56063,"Oakland, California",Tifway II Bermuda Grass,Open,Oakland Raiders,1966,62
